City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
316,krasnoselkup,65.7,82.4667,244.51,100,100,3.54,RU,1675818483
317,muros,42.7762,-9.0603,279.87,83,99,8.48,ES,1675818484
318,nizhniy odes,63.6445,54.856,263.57,95,100,4.93,RU,1675818489
319,saskylakh,71.9167,114.0833,239.83,100,100,0.56,RU,1675818498
320,lokoja,7.8024,6.743,299.64,23,15,1.04,NG,1675818506
321,kondinskoye,59.6481,67.41,247.75,100,100,1.98,RU,1675818513
322,hobyo,5.3505,48.5268,297.92,71,96,6.71,SO,1675818514
323,bandar-e lengeh,26.5579,54.8807,294.59,61,94,0.58,IR,1675818515
324,glenwood springs,39.5505,-107.3248,272.23,51,0,0.0,US,1675818516
325,berlevag,70.8578,29.0864,274.15,80,40,10.8,NO,1675818517
326,qaqortoq,60.7167,-46.0333,248.5,67,0,3.19,GL,1675818518
327,brae,60.3964,-1.353,279.86,73,100,14.14,GB,1675818518
328,vila velha,-20.3297,-40.2925,300.12,90,75,3.6,BR,1675818519
329,guaca,6.8762,-72.8559,287.75,88,62,2.42,CO,1675818520
330,mayenne,48.3333,-0.6667,270.84,78,64,2.4,FR,1675818520
331,sola,-13.8833,167.55,300.94,76,91,6.53,VU,1675818520
332,kalmunai,7.4167,81.8167,297.84,86,100,3.73,LK,1675818526
333,abha,18.2164,42.5053,283.29,82,0,0.0,SA,1675818528
334,elbistan,38.2059,37.1983,262.5,86,100,0.32,TR,1675818528
335,atambua,-9.1061,124.8925,299.41,77,68,1.38,ID,1675818529
336,marzuq,14.4,46.4667,289.63,56,5,2.11,YE,1675818529
337,tautira,-17.7333,-149.15,299.8,62,4,2.08,PF,1675818529
338,ponta do sol,32.6667,-17.1,289.1,67,34,2.93,PT,1675818530
339,edd,13.9297,41.6925,297.49,76,58,1.23,ER,1675818530
340,kongolo,-5.3833,27.0,293.77,98,100,1.24,CD,1675818530
341,puerto ayacucho,5.6639,-67.6236,301.19,59,94,1.21,VE,1675818531
342,qinggang,46.6833,126.0833,256.44,92,61,1.31,CN,1675818531
343,bontang,0.1333,117.5,297.34,78,100,1.82,ID,1675818531
344,margate,51.3813,1.3862,277.68,66,100,1.53,GB,1675818120
345,chikwawa,-16.0335,34.8009,295.47,92,87,1.81,MW,1675818532
346,barcelos,41.5388,-8.6151,282.97,57,91,6.07,PT,1675818532
347,port blair,11.6667,92.75,298.3,74,82,5.09,IN,1675818532
348,la ronge,55.1001,-105.2842,269.55,82,1,4.18,CA,1675818533
349,luebo,-5.35,21.4167,293.52,96,100,0.79,CD,1675818533
350,bratsk,56.1325,101.6142,256.42,99,100,1.34,RU,1675818533
351,sao geraldo do araguaia,-6.4006,-48.555,295.81,97,100,2.06,BR,1675818534
352,gao,16.6362,1.637,298.11,14,100,5.16,ML,1675818534
353,elliot lake,46.3834,-82.6331,269.93,85,71,4.64,CA,1675818534
354,sitka,57.0531,-135.33,277.09,75,20,1.54,US,1675818535
355,imbituba,-28.24,-48.6703,295.89,87,10,3.31,BR,1675818481
356,sakakah,29.9697,40.2064,282.91,63,6,5.87,SA,1675818371
